2022-03-21 13:11:07.2616|Info|Запрос на добавление Deposit | 
2022-03-21 13:11:07.2616|Info|Подключение к базе данных. | 
2022-03-21 13:11:07.2616|Info|Подключение произведено. | 
2022-03-21 13:11:07.3054|Info|Транзакция типа Deposit с id = 6 добавлена в БД. | 
2022-03-21 13:11:07.3054|Info|Транзакция типа Deposit с id = 6 успешно добавлена | 
2022-03-21 13:11:13.0448|Info|Запрос на добавление Deposit в контроллере | 
2022-03-21 13:11:13.0448|Info|Запрос на добавление Deposit | 
2022-03-21 13:11:13.0448|Info|Подключение к базе данных. | 
2022-03-21 13:11:13.0448|Info|Подключение произведено. | 
2022-03-21 13:11:13.0845|Info|Транзакция типа Deposit с id = 7 добавлена в БД. | 
2022-03-21 13:11:13.0845|Info|Транзакция типа Deposit с id = 7 успешно добавлена | 
2022-03-21 13:11:18.4230|Info|Запрос на добавление Deposit в контроллере | 
2022-03-21 13:11:18.4230|Info|Запрос на добавление Deposit | 
2022-03-21 13:11:18.4230|Info|Подключение к базе данных. | 
2022-03-21 13:11:18.4230|Info|Подключение произведено. | 
2022-03-21 13:11:18.4230|Info|Транзакция типа Deposit с id = 8 добавлена в БД. | 
2022-03-21 13:11:18.4230|Info|Транзакция типа Deposit с id = 8 успешно добавлена | 
2022-03-21 13:11:35.2811|Info|Запрос на добавление Withdraw в контроллере | 
2022-03-21 13:11:35.2811|Info|Запрос на добавление Withdraw | 
2022-03-21 13:11:35.2811|Info|Запрос на получение транзакциий по AccountId = 11 | 
2022-03-21 13:11:35.2811|Info|Подключение к базе данных. | 
2022-03-21 13:11:35.2811|Info|Подключение произведено. | 
2022-03-21 13:11:35.3939|Info|Транзакция по AccountId = 11 получены. | 
2022-03-21 13:11:35.4238|Info|Подключение к базе данных. | 
2022-03-21 13:11:35.4238|Info|Подключение произведено. | 
2022-03-21 13:11:35.4297|Info|Транзакция типа Withdraw с id = 9 добавлена в БД. | 
2022-03-21 13:11:35.4297|Info|Транзакция типа Withdraw с id = 9 успешно добавлена | 
2022-03-21 13:11:42.1130|Info|Запрос на добавление Withdraw в контроллере | 
2022-03-21 13:11:42.1130|Info|Запрос на добавление Withdraw | 
2022-03-21 13:11:42.1130|Info|Запрос на получение транзакциий по AccountId = 11 | 
2022-03-21 13:11:42.1130|Info|Подключение к базе данных. | 
2022-03-21 13:11:42.1179|Info|Подключение произведено. | 
2022-03-21 13:11:42.1179|Info|Транзакция по AccountId = 11 получены. | 
2022-03-21 13:11:42.1179|Info|Подключение к базе данных. | 
2022-03-21 13:11:42.1179|Info|Подключение произведено. | 
2022-03-21 13:11:42.1179|Info|Транзакция типа Withdraw с id = 10 добавлена в БД. | 
2022-03-21 13:11:42.1179|Info|Транзакция типа Withdraw с id = 10 успешно добавлена | 
2022-03-21 13:12:07.7977|Info|Запрос на добавление Transfer в контроллере | 
2022-03-21 13:12:07.7977|Info|Запрос на добавление Transfer | 
2022-03-21 13:12:11.8405|Info|Запрос на конвертацию валюты с RUB в TRY  | 
2022-03-21 13:12:20.0562|Info|Валюта конвертирована | 
2022-03-21 13:12:20.1327|Info|Подключение к базе данных. | 
2022-03-21 13:12:20.1339|Info|Подключение произведено. | 
2022-03-21 13:12:24.0712|Info|Транзакция типа Transfer с id = 11, 12 добавлены в БД. | 
2022-03-21 13:12:24.0712|Info|Транзакция типа Transfer с id = 11, 12 успешно добавлены | 
2022-03-21 13:12:48.1286|Info|Запрос на добавление Transfer в контроллере | 
2022-03-21 13:12:48.1286|Info|Запрос на добавление Transfer | 
2022-03-21 13:12:48.1286|Info|Запрос на конвертацию валюты с EUR в RUB  | 
2022-03-21 13:12:52.1843|Info|Валюта конвертирована | 
2022-03-21 13:12:52.1843|Info|Подключение к базе данных. | 
2022-03-21 13:12:52.1843|Info|Подключение произведено. | 
2022-03-21 13:12:52.2273|Info|Транзакция типа Transfer с id = 13, 14 добавлены в БД. | 
2022-03-21 13:12:52.2273|Info|Транзакция типа Transfer с id = 13, 14 успешно добавлены | 
2022-03-21 13:13:05.2538|Info|Запрос на получение всех транзакций по AccountId = 11 в контроллере | 
2022-03-21 13:13:05.2538|Info|Запрос на получение транзакциий по AccountId = 11 | 
2022-03-21 13:13:05.2617|Info|Подключение к базе данных. | 
2022-03-21 13:13:05.2617|Info|Подключение произведено. | 
2022-03-21 13:13:05.2617|Info|Транзакция по AccountId = 11 получены. | 
2022-03-21 13:13:05.2762|Info|Транзакция по AccountId = 11 успешно получены | 
2022-03-21 13:16:03.2080|Info|Запрос на добавление Transfer в контроллере | 
